ENDLINE2_RESIDENT,ENDLINE2_LEADER,assigned_nov,houseoccupy_ec2,houseclaim_ec2,farmclaim_ec2,housepalavapostwar_ec2,farmpalavapostwar_ec2,anylndconf_u_ec2,unrslv_lnd_conf_u_ec2,conf_threat_c_ec2,conf_threat_u_ec2,conf_damage_c_ec2,conf_damage_u_ec2,conf_viol_c_ec2,conf_viol_u_ec2,conf_witch_c_ec2,conf_any_c_ec2,conf_any_u_ec2,forum_lastsuc_c_ec2,cviol_scale_bc,clandconf_scale_bc,cpalaviol_imputed_bc,clndtake_bc,cattitudes_tribe_bc,cprog_ldr_beliefs_bc,cwitchcraft_scale_bc,cwealthindex_bc,cedulevel_bc,crelmarry_bc,cviol_experienced_bc,weight_ec2,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,s_weight1,s_weight2,s_weight3,s_weight4,assigned_ever,quartdummy,christian,minority,housetake_dum,lndtake_dum,female,stranger,yrs_edu,noland,ageover60,age40_60,age20_40,land_sizehst,farm_sizehst,cashearn_imputedhst,trainee,ctownhh_log_el2,vsmall,small,small2,small3,lmg_conf_u_ec2,lmg_unrslv_conf_u_ec2,lmg_conf_any_u_ec2,lmg_forum_lastsuc_c_ec2,lmg_forum_inf_suc_c_ec2,lmg_conf_any_c_ec2,conf_length_max_c_ec2,resident_e1,conf_dam_violence_bin_u,conf_dam_violence_bin_c,lmg_conf_dam_violence_bin_c,lmg_conf_threat_c_ec2,lmg_conf_viol_c_ec2,lmg_conf_damage_c_ec2,ctownhh_log_el,weight_e1_e2,unconditional_label_land,conditional_label_land,unconditional_label_all,conditional_label_all
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,1,0,0,.2474665,7.824046,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,14,0,0,0,1,5.703794,1.818447,8.294049,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,0,0,0,1,0,0,4.406868,.8813736,5.01068,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,1,1,0,0,1,1,0,0,,1,1,0,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,14,0,0,0,1,3.179785,.8813736,8.006368,0,4.143135,0,1,0,0,1,1,,0,0,,,1,1,1,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,0,0,0,1,0,0,4.753664,2.312438,0,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,1,0,.2474665,1.443635,6.907756,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,5,0,1,0,0,2.776472,1.443635,5.991471,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,1,1,1,1,0,0,0,0,,1,1,0,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,14,0,0,1,0,3.333477,2.094712,0,0,4.143135,0,1,0,0,1,1,,0,0,,,1,0,0,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,9,0,0,1,0,4.159127,1.818447,5.298342,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,1,0,0,1.550158,2.094712,0,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
